AQS,temp,humidity,dew,PAS
6.7,18.0272633744856,38.5648148148148,3.62966242412037,8.61695352332852
3.8,16.1152803835731,49.4043151969981,5.44231799134361,3.49391633415251
4.0,19.897633744856,29.9722222222222,1.73405101312739,3.79960099292242
4.7,21.3783338482134,32.4745134383689,4.16562395944478,4.36969101036657
3.2,18.4438219732337,43.8982259570495,5.86761116124433,3.19107078838998
4.2,18.2772633744856,38.4796296296296,3.82288403630653,3.27136574074074
4.0,21.7155802697971,35.9759036144578,5.93530653750172,5.05941532368791
17.6,22.8683127572016,32.2351851851852,5.37326667330483,35.9255740740741
4.5,17.6599794238683,43.9907407407407,5.1831269362209,4.82944444444444
2.7,17.341049382716,50.1222222222222,6.78590566979735,2.69641203703704
2.9,20.5704870765112,20.6960148285449,-2.75620888759905,0.990935845374212
12.5,19.2436916213579,45.4843161856964,7.11587353769771,21.864381017383
1.5,14.8341049382716,70.4513888888889,9.46453810049158,0.998847222222222
4.4,17.3839368616527,56.2827298050139,8.53459397334182,2.92713788300836
2.5,20.2307098765432,34.0222222222222,3.81377866050337,1.23522916666667
2.9,20.8842592592593,26.6166666666667,0.939043606487538,2.20475
3.2,19.4915778086849,34.9415855354659,3.53647232938965,2.61585320450486
3.2,20.016975308642,41.4277777777778,6.45608165554663,2.530875
3.1,19.6569309225777,41.5980528511822,6.18941008835588,2.78462447844228
3.5,19.8865740740741,39.8125,5.76094559749067,2.82400694444444
3.2,19.9452160493827,43.0625,6.95550458250892,2.69732638888889
2.0,20.4753776122491,27.4050279329609,0.990327586772945,0.376831004282532
2.3,20.1311441553077,34.2797397769517,3.83274404822628,1.01789736107938
3.9,22.2222222222222,29.6031746031746,3.59041330710482,2.55836134453781
3.7,23.9297839506173,34.7625,7.40752605998231,4.85311805555556
4.8,23.5902777777778,33.3791666666667,6.51473109693003,7.30245833333333
4.3,22.5763888888889,42.0583333333333,8.9992389554675,6.58488194444444
2.9,24.5609567901235,36.3694444444444,8.63408703000132,3.99263194444444
3.5,22.6851851851852,40.0902777777778,8.38827265909327,3.61703472222222
3.2,25.241512345679,41.7375,11.3025787955698,2.62347916666667
4.0,26.8549382716049,35.8722222222222,10.4765656512983,5.46972916666667
4.5,27.9475308641975,32.5375,9.98826898108378,6.59075694444444
7.5,24.787037037037,42.8430555555556,11.2845673540975,13.7479722222222
16.2,20.9668209876543,61.8472222222222,13.3377883862927,38.5742013888889
2.4,20.6033950617284,44.4222222222222,8.01193201488988,2.13855555555556
2.0,21.4768518518519,41.1305555555556,7.67309126553417,1.20486805555556
2.8,22.1188271604938,35.2541666666667,6.00132628575266,2.45721527777778
4.0,19.2725484104794,29.5391791044776,0.985404552290565,2.76017237467138
6.6,6.81430041152263,44.7601851851852,-4.478973047347,6.37975462962963
5.9,7.64854288950674,43.082483781279,-4.22871867814501,7.21733549582947
3.8,6.36269322543832,60.5443510737628,-0.794788282890344,5.01456115779645
4.3,7.90534979423868,58.19573283859,0.111553848498617,6.32929166666667
